2022-04-08-07-38: epoch: 22 |tot 1.218457 | hm 0.325061 | wh 0.889193 | reg 0.180054 | ltrb_amodal 0.854889 | tracking 0.538934 | time 13.100000 | 
2022-04-08-07-51: epoch: 23 |tot 1.187375 | hm 0.311352 | wh 0.889493 | reg 0.176475 | ltrb_amodal 0.816107 | tracking 0.528988 | time 12.916667 | 
2022-04-08-08-04: epoch: 24 |tot 1.199669 | hm 0.306855 | wh 0.873564 | reg 0.176920 | ltrb_amodal 0.823240 | tracking 0.546214 | time 12.950000 | 
2022-04-08-08-17: epoch: 25 |tot 1.198877 | hm 0.306374 | wh 0.909457 | reg 0.176856 | ltrb_amodal 0.831564 | tracking 0.541545 | time 12.933333 | 
2022-04-08-08-30: epoch: 26 |tot 1.189683 | hm 0.308776 | wh 0.867758 | reg 0.178277 | ltrb_amodal 0.804368 | tracking 0.535417 | time 12.950000 | 
2022-04-08-08-43: epoch: 27 |tot 1.182472 | hm 0.294542 | wh 0.861014 | reg 0.175448 | ltrb_amodal 0.813746 | tracking 0.545006 | time 12.950000 | 
2022-04-08-08-56: epoch: 28 |tot 1.168763 | hm 0.295920 | wh 0.863256 | reg 0.173743 | ltrb_amodal 0.781119 | tracking 0.534662 | time 12.933333 | 
2022-04-08-09-09: epoch: 29 |tot 1.166384 | hm 0.293938 | wh 0.864120 | reg 0.172977 | ltrb_amodal 0.804395 | tracking 0.532618 | time 12.950000 | 
2022-04-08-09-22: epoch: 30 |tot 1.157132 | hm 0.286667 | wh 0.851031 | reg 0.171037 | ltrb_amodal 0.783316 | tracking 0.535993 | time 12.950000 | 
2022-04-08-09-35: epoch: 31 |tot 1.109798 | hm 0.275718 | wh 0.787301 | reg 0.169701 | ltrb_amodal 0.736559 | tracking 0.511993 | time 12.966667 | 
2022-04-08-09-48: epoch: 32 |tot 1.120042 | hm 0.276472 | wh 0.793651 | reg 0.168379 | ltrb_amodal 0.746091 | tracking 0.521216 | time 12.950000 | 
2022-04-08-10-01: epoch: 33 |tot 1.108127 | hm 0.271027 | wh 0.791926 | reg 0.170229 | ltrb_amodal 0.722807 | tracking 0.515397 | time 12.950000 | 
