2022-04-07-12-43: epoch: 6 |tot 1.661133 | hm 0.532190 | wh 1.402180 | reg 0.209618 | ltrb_amodal 1.454787 | tracking 0.633629 | time 12.650000 | 
2022-04-07-12-56: epoch: 7 |tot 1.568730 | hm 0.491960 | wh 1.264356 | reg 0.206299 | ltrb_amodal 1.325351 | tracking 0.611501 | time 12.850000 | 
2022-04-07-13-09: epoch: 8 |tot 1.520538 | hm 0.462871 | wh 1.188112 | reg 0.200542 | ltrb_amodal 1.235111 | tracking 0.614802 | time 12.850000 | 
2022-04-07-13-22: epoch: 9 |tot 1.511438 | hm 0.448323 | wh 1.214762 | reg 0.199390 | ltrb_amodal 1.219842 | tracking 0.620265 | time 12.866667 | 
2022-04-07-13-34: epoch: 10 |tot 1.443063 | hm 0.418925 | wh 1.088213 | reg 0.195604 | ltrb_amodal 1.106722 | tracking 0.609041 | time 12.866667 | 
2022-04-07-13-47: epoch: 11 |tot 1.435051 | hm 0.410053 | wh 1.103639 | reg 0.194862 | ltrb_amodal 1.095042 | tracking 0.610267 | time 12.883333 | 
2022-04-07-14-00: epoch: 12 |tot 1.393735 | hm 0.396619 | wh 1.053266 | reg 0.193465 | ltrb_amodal 1.006543 | tracking 0.597670 | time 12.900000 | 
2022-04-07-14-13: epoch: 13 |tot 1.388341 | hm 0.391910 | wh 1.018886 | reg 0.190621 | ltrb_amodal 1.010674 | tracking 0.602854 | time 12.916667 | 
2022-04-07-14-26: epoch: 14 |tot 1.348118 | hm 0.372406 | wh 0.973945 | reg 0.188934 | ltrb_amodal 0.944252 | tracking 0.594958 | time 12.900000 | 
2022-04-07-14-39: epoch: 15 |tot 1.342818 | hm 0.369056 | wh 1.029240 | reg 0.188699 | ltrb_amodal 0.951616 | tracking 0.586977 | time 12.883333 | 
2022-04-07-14-52: epoch: 16 |tot 1.308830 | hm 0.356756 | wh 0.962812 | reg 0.186012 | ltrb_amodal 0.900290 | tracking 0.579752 | time 12.883333 | 
