2022-03-30-12-11: epoch: 21 |tot 1.885986 | hm 0.628843 | wh 1.962109 | reg 0.214259 | ltrb_amodal 2.210316 | tracking 0.625642 | time 12.350000 | 
2022-03-30-12-23: epoch: 22 |tot 1.848889 | hm 0.613039 | wh 1.890560 | reg 0.215148 | ltrb_amodal 2.136726 | tracking 0.617972 | time 12.250000 | 
2022-03-30-12-36: epoch: 23 |tot 1.886019 | hm 0.619574 | wh 1.911505 | reg 0.214221 | ltrb_amodal 2.229113 | tracking 0.638162 | time 12.250000 | 
2022-03-30-12-48: epoch: 24 |tot 1.840902 | hm 0.610503 | wh 1.801679 | reg 0.213324 | ltrb_amodal 2.077539 | tracking 0.629153 | time 12.266667 | 
2022-03-30-13-00: epoch: 25 |tot 1.828664 | hm 0.600387 | wh 1.795908 | reg 0.212489 | ltrb_amodal 2.097851 | tracking 0.626412 | time 12.266667 | 
2022-03-30-13-12: epoch: 26 |tot 1.816458 | hm 0.591194 | wh 1.745763 | reg 0.211611 | ltrb_amodal 2.022606 | tracking 0.636816 | time 12.233333 | 
2022-03-30-13-25: epoch: 27 |tot 1.789040 | hm 0.579196 | wh 1.690414 | reg 0.211850 | ltrb_amodal 2.071429 | tracking 0.621810 | time 12.283333 | 
2022-03-30-13-37: epoch: 28 |tot 1.755893 | hm 0.568389 | wh 1.645914 | reg 0.210028 | ltrb_amodal 1.994578 | tracking 0.613427 | time 12.266667 | 
2022-03-30-13-49: epoch: 29 |tot 1.746667 | hm 0.560976 | wh 1.623480 | reg 0.210175 | ltrb_amodal 1.955722 | tracking 0.617596 | time 12.250000 | 
2022-03-30-14-02: epoch: 30 |tot 1.741060 | hm 0.558318 | wh 1.550726 | reg 0.209726 | ltrb_amodal 1.955662 | tracking 0.622377 | time 12.266667 | 
2022-03-30-14-14: epoch: 31 |tot 1.740317 | hm 0.548123 | wh 1.579758 | reg 0.209226 | ltrb_amodal 2.017549 | tracking 0.623237 | time 12.250000 | 
2022-03-30-14-26: epoch: 32 |tot 1.733805 | hm 0.547471 | wh 1.560350 | reg 0.209211 | ltrb_amodal 1.989031 | tracking 0.622185 | time 12.266667 | 
2022-03-30-14-38: epoch: 33 |tot 1.726943 | hm 0.545999 | wh 1.546448 | reg 0.207395 | ltrb_amodal 1.987419 | tracking 0.620162 | time 12.266667 | 
2022-03-30-14-51: epoch: 34 |tot 1.725711 | hm 0.544125 | wh 1.492218 | reg 0.206798 | ltrb_amodal 1.968297 | tracking 0.628737 | time 12.283333 | 
2022-03-30-15-03: epoch: 35 |tot 1.710686 | hm 0.531447 | wh 1.484279 | reg 0.208016 | ltrb_amodal 1.977099 | tracking 0.625085 | time 12.266667 | 
2022-03-30-15-15: epoch: 36 |tot 1.687751 | hm 0.525560 | wh 1.426949 | reg 0.207950 | ltrb_amodal 1.910482 | tracking 0.620497 | time 12.266667 | 
2022-03-30-15-28: epoch: 37 |tot 1.715381 | hm 0.529805 | wh 1.480771 | reg 0.207287 | ltrb_amodal 1.986593 | tracking 0.631553 | time 12.266667 | 
2022-03-30-15-40: epoch: 38 |tot 1.671497 | hm 0.518289 | wh 1.398236 | reg 0.205650 | ltrb_amodal 1.923366 | tracking 0.615398 | time 12.266667 | 
2022-03-30-15-52: epoch: 39 |tot 1.686672 | hm 0.517365 | wh 1.395036 | reg 0.205290 | ltrb_amodal 1.923876 | tracking 0.632125 | time 12.250000 | 
2022-03-30-16-05: epoch: 40 |tot 1.687376 | hm 0.515298 | wh 1.420646 | reg 0.205567 | ltrb_amodal 1.999684 | tracking 0.624478 | time 12.266667 | 
2022-03-30-16-17: epoch: 41 |tot 1.643958 | hm 0.497947 | wh 1.359819 | reg 0.205236 | ltrb_amodal 1.909631 | tracking 0.613830 | time 12.250000 | 
2022-03-30-16-29: epoch: 42 |tot 1.636049 | hm 0.496477 | wh 1.322886 | reg 0.204404 | ltrb_amodal 1.870941 | tracking 0.615786 | time 12.266667 | 
2022-03-30-16-41: epoch: 43 |tot 1.619643 | hm 0.487688 | wh 1.300228 | reg 0.203127 | ltrb_amodal 1.868120 | tracking 0.611993 | time 12.266667 | 
2022-03-30-16-54: epoch: 44 |tot 1.649994 | hm 0.495535 | wh 1.338434 | reg 0.203207 | ltrb_amodal 1.929811 | tracking 0.624427 | time 12.266667 | 
2022-03-30-17-06: epoch: 45 |tot 1.635815 | hm 0.487238 | wh 1.338882 | reg 0.202713 | ltrb_amodal 1.885475 | tracking 0.623429 | time 12.250000 | 
